Customer Name,City,State,Days to Ship,Product Name,Actual Discount,Sales,Profit,Quantity,Order Day of Week,Order Day of Year,Order Year,Ship Day of Week,Ship Day of Year,Ship Year
Rose Heap,Gothenburg,Västra Götaland,7,"Sanford Pens, Fluorescent",15.5,31,-14,5,6,13,2013,6,20,2013
Ella Troy,Vienna,Vienna,5,"Xerox Message Books, Premium",0.0,224,103,11,0,14,2013,5,19,2013
Ella Troy,Vienna,Vienna,5,"StarTech Card Printer, White",0.0,486,78,3,0,14,2013,5,19,2013
Ella Troy,Vienna,Vienna,5,"Apple Headset, with Caller ID",0.0,440,66,6,0,14,2013,5,19,2013
Everett Dunbar,Langen,Lower Saxony,5,"Cuisinart Microwave, White",24.9,249,3,1,1,15,2013,6,20,2013
Everett Dunbar,Langen,Lower Saxony,5,"Harbour Creations Removable Labels, 5000 Label Set",0.0,21,7,2,1,15,2013,6,20,2013
Everett Dunbar,Langen,Lower Saxony,5,"Green Bar Computer Printout Paper, 8.5 x 11",0.0,170,25,5,1,15,2013,6,20,2013
Everett Dunbar,Langen,Lower Saxony,5,"Elite Letter Opener, Easy Grip",0.0,55,2,2,1,15,2013,6,20,2013
Everett Dunbar,Langen,Lower Saxony,5,"Hewlett Copy Machine, Laser",0.0,527,11,2,1,15,2013,6,20,2013
Georgia Bermingham,Copenhagen,Hovedstaden,6,"Hon Shipping Labels, Laser Printer Compatible",8.5,17,-8,3,3,17,2013,2,23,2013
Christopher Goold,Gandia,Valenciana,3,"Stockwell Thumb Tacks, Bulk Pack",0.0,108,33,8,4,18,2013,0,21,2013
John Baca,Esbjerg,South Denmark,5,"Acco Binding Machine, Economy",13.0,26,-11,1,4,18,2013,2,23,2013
Kai Leonard,Sesto San Giovanni,Lombardy,2,"GlobeWeis Business Envelopes, Recycled",0.0,48,21,3,5,19,2013,0,21,2013
Jennifer Mattingly,Trapani,Sicily,1,"Wilson Jones Binding Machine, Clear",0.0,145,44,3,5,19,2013,6,20,2013
Jennifer Mattingly,Trapani,Sicily,1,"Fellowes Folders, Blue",19.2,48,8,3,5,19,2013,6,20,2013
Nathan Iqbal,Villiers-sur-Marne,Ile-de-France,5,"Boston Pencil Sharpener, Water Color",0.0,58,8,2,6,20,2013,4,25,2013
Noah Chamberlain,Bielefeld,North Rhine-Westphalia,5,"Memorex Router, Programmable",0.0,495,233,2,0,21,2013,5,26,2013
Dylan Disney,Leuven,Flemish Brabant,4,"Avery Index Tab, Clear",0.0,12,3,2,1,22,2013,5,26,2013
Dylan Disney,Leuven,Flemish Brabant,4,"Tenex File Cart, Blue",0.0,666,120,5,1,22,2013,5,26,2013
Melissa Bean,Prato,Tuscany,4,"Bush Classic Bookcase, Traditional",0.0,825,338,2,1,22,2013,5,26,2013
Melissa Bean,Prato,Tuscany,4,"Boston Canvas, Easy-Erase",0.0,54,12,1,1,22,2013,5,26,2013
Melissa Bean,Prato,Tuscany,4,"Rogers Lockers, Single Width",355.6,889,59,7,1,22,2013,5,26,2013
Vaughn Gibbs,Gela,Sicily,2,"Boston Markers, Fluorescent",0.0,28,4,1,3,24,2013,5,26,2013
William Horton,Bologna,Emilia-Romagna,2,"Harbour Creations Swivel Stool, Set of Two",43.8,73,-57,1,3,24,2013,5,26,2013
William Horton,Bologna,Emilia-Romagna,2,"Office Star Bag Chairs, Set of Two",41.4,69,-95,3,3,24,2013,5,26,2013
William Horton,Bologna,Emilia-Romagna,2,"Advantus Staples, 12 Pack",0.0,41,3,4,3,24,2013,5,26,2013
William Horton,Bologna,Emilia-Romagna,2,"Harbour Creations Color Coded Labels, Adjustable",0.0,54,8,5,3,24,2013,5,26,2013
William Horton,Bologna,Emilia-Romagna,2,"SanDisk Memo Slips, Multicolor",0.0,55,3,3,3,24,2013,5,26,2013
David Harney,Menden,North Rhine-Westphalia,7,"Advantus Light Bulb, Duo Pack",0.0,20,4,1,4,25,2013,4,32,2013
David Harney,Menden,North Rhine-Westphalia,7,"Cardinal Binder, Clear",0.0,133,4,10,4,25,2013,4,32,2013
Walter Coley,Maisons-Alfort,Ile-de-France,5,"Stanley Markers, Water Color",0.0,178,59,7,4,25,2013,2,30,2013
Lori Miller,Madrid,Madrid,4,"Smead Removable Labels, 5000 Label Set",0.0,32,10,3,5,26,2013,2,30,2013
Hayley Baldwinson,Oslo,Oslo,4,"Acco Binder Covers, Clear",0.0,13,5,1,5,26,2013,2,30,2013
Hayley Baldwinson,Oslo,Oslo,4,"Avery Binder, Economy",0.0,52,20,4,5,26,2013,2,30,2013
Hayley Baldwinson,Oslo,Oslo,4,"Memorex Flash Drive, Bluetooth",0.0,88,18,3,5,26,2013,2,30,2013
Joseph Locke,Lisbon,Lisboa,4,"Hewlett Wireless Fax, Laser",285.0,570,-217,3,5,26,2013,2,30,2013
Gracie Hicks,Draguignan,Provence-Alpes-Côte d'Azur,6,"Rogers Folders, Single Width",2.8,28,-1,1,0,28,2013,6,34,2013
Hollie Norris,Halle,North Rhine-Westphalia,6,"Acco Hole Reinforcements, Recycled",0.0,21,11,3,4,32,2013,3,38,2013
Hollie Norris,Halle,North Rhine-Westphalia,6,"Avery Hole Reinforcements, Durable",0.0,12,4,2,4,32,2013,3,38,2013
Kiara Allen,Parma,Emilia-Romagna,4,"Sanford Pencil Sharpener, Water Color",0.0,78,20,3,4,32,2013,1,36,2013
Ronald Everson,Dresden,Saxony,3,"Xerox Note Cards, Premium",6.5,13,-8,1,5,33,2013,1,36,2013
Ronald Everson,Dresden,Saxony,3,"HP Fax and Copier, Digital",43.0,86,0,1,5,33,2013,1,36,2013
Ronald Everson,Dresden,Saxony,3,"Motorola Signal Booster, Cordless",292.0,584,-59,8,5,33,2013,1,36,2013
Daryl Claypool,Seville,Andalusía,4,"Acme Box Cutter, High Speed",0.0,38,18,1,5,33,2013,2,37,2013
Daryl Claypool,Seville,Andalusía,4,"Cisco Smart Phone, Full Size",58.7,587,104,1,5,33,2013,2,37,2013
Caleb Kenyon,Torrevieja,Valenciana,2,"Boston Highlighters, Water Color",0.0,44,8,2,5,33,2013,0,35,2013
Winnie Moss,Barcelona,Catalonia,5,"Ikea Library with Doors, Pine",0.0,729,241,2,5,33,2013,3,38,2013
Winnie Moss,Barcelona,Catalonia,5,"SAFCO Steel Folding Chair, Black",53.2,266,23,4,5,33,2013,3,38,2013
Winnie Moss,Barcelona,Catalonia,5,"BIC Canvas, Water Color",0.0,57,1,1,5,33,2013,3,38,2013
Winnie Moss,Barcelona,Catalonia,5,"Sanford Pencil Sharpener, Water Color",0.0,116,13,4,5,33,2013,3,38,2013
Courtney Hancock,London,England,2,"Cisco Headset, Full Size",16.2,162,43,2,5,33,2013,0,35,2013
Brandon Preston,Reims,Alsace-Champagne-Ardenne-Lorraine,4,"SanDisk Memo Slips, Multicolor",23.0,46,-41,5,5,33,2013,2,37,2013
Brandon Preston,Reims,Alsace-Champagne-Ardenne-Lorraine,4,"Logitech Numeric Keypad, Erganomic",22.0,44,-8,2,5,33,2013,2,37,2013
Brandon Preston,Reims,Alsace-Champagne-Ardenne-Lorraine,4,"Hewlett Copy Machine, Color",357.5,550,-236,6,5,33,2013,2,37,2013
Brandon Preston,Reims,Alsace-Champagne-Ardenne-Lorraine,4,"Konica Phone, White",57.85,89,-76,3,5,33,2013,2,37,2013
Lara Stoate,Rosenheim,Bavaria,0,"Fellowes File Cart, Industrial",24.8,248,8,2,5,33,2013,5,33,2013
Lara Stoate,Rosenheim,Bavaria,0,"Brother Wireless Fax, Laser",0.0,379,140,1,5,33,2013,5,33,2013
Max Ludwig,Uppsala,Uppsala,2,"Boston Pencil Sharpener, Easy-Erase",45.5,91,-62,6,6,34,2013,1,36,2013
Summer Hayward,Nice,Provence-Alpes-Côte d'Azur,4,"Tenex Shelving, Industrial",14.9,149,15,3,0,35,2013,4,39,2013
Millie Newman,Boulogne-sur-Mer,Nord-Pas-de-Calais-Picardie,4,"Stanley Pencil Sharpener, Water Color",0.0,112,4,4,3,38,2013,0,42,2013
Millie Newman,Boulogne-sur-Mer,Nord-Pas-de-Calais-Picardie,4,"Avery Binder Covers, Durable",0.0,50,6,4,3,38,2013,0,42,2013
Millie Newman,Boulogne-sur-Mer,Nord-Pas-de-Calais-Picardie,4,"Konica Receipt Printer, Wireless",31.2,208,12,2,3,38,2013,0,42,2013
Larry Klaus,La Crau,Provence-Alpes-Côte d'Azur,5,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0.0,31,11,3,3,38,2013,1,43,2013
Shelby Dunston,Siena,Tuscany,5,"Stockwell Clamps, 12 Pack",0.0,110,22,6,4,39,2013,2,44,2013
Erin Gill,Barcelona,Catalonia,5,"Ikea Corner Shelving, Metal",0.0,368,15,3,5,40,2013,3,45,2013
Erin Gill,Barcelona,Catalonia,5,"Binney & Smith Sketch Pad, Blue",0.0,93,24,2,5,40,2013,3,45,2013
Erin Gill,Barcelona,Catalonia,5,"Cardinal 3-Hole Punch, Clear",0.0,85,18,3,5,40,2013,3,45,2013
Erin Gill,Barcelona,Catalonia,5,"Stockwell Rubber Bands, 12 Pack",0.0,48,5,3,5,40,2013,3,45,2013
Erin Gill,Barcelona,Catalonia,5,"Smead Folders, Wire Frame",6.0,60,-3,4,5,40,2013,3,45,2013
Piper Wilder-Neligan,Frankfurt,Hesse,0,"Binney & Smith Pencil Sharpener, Fluorescent",0.0,133,5,5,5,40,2013,5,40,2013
Piper Wilder-Neligan,Frankfurt,Hesse,0,"Cardinal Binder Covers, Clear",0.0,80,21,7,5,40,2013,5,40,2013
Patricia Lukes,Almelo,Overijssel,4,"Advantus Frame, Duo Pack",53.4,267,90,3,5,40,2013,2,44,2013
Patricia Lukes,Almelo,Overijssel,4,"GlobeWeis Manila Envelope, Set of 50",27.5,55,-19,4,5,40,2013,2,44,2013
Patricia Lukes,Almelo,Overijssel,4,"Rogers Trays, Wire Frame",45.5,91,-2,3,5,40,2013,2,44,2013
Lilian Macredie,Basel,Basel-Stadt,4,"Sauder Library with Doors, Mobile",0.0,780,117,2,6,41,2013,3,45,2013
Lilian Macredie,Basel,Basel-Stadt,4,"BIC Highlighters, Blue",0.0,19,8,1,6,41,2013,3,45,2013
Jasmine Slater,Coslada,Madrid,5,"Dania Classic Bookcase, Traditional",0.0,822,353,2,6,41,2013,4,46,2013
Jasmine Slater,Coslada,Madrid,5,"Boston Highlighters, Easy-Erase",0.0,19,4,1,6,41,2013,4,46,2013
Charlotte Taylor,Marseille,Provence-Alpes-Côte d'Azur,4,"Kraft Clasp Envelope, with clear poly window",0.0,50,24,4,6,41,2013,3,45,2013
Charlotte Taylor,Marseille,Provence-Alpes-Côte d'Azur,4,"Panasonic Receipt Printer, Wireless",30.9,206,27,2,6,41,2013,3,45,2013
Victoria Bell,Hanover,Lower Saxony,0,"Avery Binder Covers, Clear",13.0,26,-14,5,6,41,2013,6,41,2013
Victoria Bell,Hanover,Lower Saxony,0,"Tenex File Cart, Industrial",129.0,215,-220,4,6,41,2013,6,41,2013
Kayleigh Farmer,Elda,Valenciana,5,"BIC Markers, Blue",0.0,26,1,1,3,45,2013,1,50,2013
Kayleigh Farmer,Elda,Valenciana,5,"Eldon Box, Blue",0.9,9,2,1,3,45,2013,1,50,2013
Tyson Ebden,Hardenberg,Overijssel,5,"Sauder Classic Bookcase, Pine",437.5,875,-577,4,4,46,2013,2,51,2013
Tyson Ebden,Hardenberg,Overijssel,5,"Barricks Coffee Table, Fully Assembled",191.1,273,-500,3,4,46,2013,2,51,2013
Sophie Franklin,Seville,Andalusía,6,"Hon Executive Leather Armchair, Adjustable",145.6,728,-82,2,4,46,2013,3,52,2013
Sophie Franklin,Seville,Andalusía,6,"Rubbermaid Door Stop, Erganomic",0.0,127,19,3,4,46,2013,3,52,2013
Maya O'Sullivan,Muret,Languedoc-Roussillon-Midi-Pyrénées,3,"SAFCO Executive Leather Armchair, Black",454.4,4544,1868,11,5,47,2013,1,50,2013
Maya O'Sullivan,Muret,Languedoc-Roussillon-Midi-Pyrénées,3,"Hoover Microwave, Black",27.7,277,0,1,5,47,2013,1,50,2013
Maya O'Sullivan,Muret,Languedoc-Roussillon-Midi-Pyrénées,3,"Stanley Highlighters, Easy-Erase",0.0,90,32,6,5,47,2013,1,50,2013
Maya O'Sullivan,Muret,Languedoc-Roussillon-Midi-Pyrénées,3,"Nokia Audio Dock, VoIP",42.6,284,43,2,5,47,2013,1,50,2013
Ronald Everson,Beaune,Bourgogne-Franche-Comté,6,"OIC Thumb Tacks, Assorted Sizes",0.0,35,14,3,0,49,2013,6,55,2013
Julian Mack,Paris,Ile-de-France,5,"Avery Hole Reinforcements, Durable",0.0,24,8,4,0,49,2013,5,54,2013
Julian Mack,Paris,Ile-de-France,5,"Panasonic Calculator, Durable",19.35,129,-2,3,0,49,2013,5,54,2013
Tegan Savage,Castrop-Rauxel,North Rhine-Westphalia,4,"Advantus Thumb Tacks, Assorted Sizes",0.0,55,8,5,0,49,2013,4,53,2013
Tegan Savage,Castrop-Rauxel,North Rhine-Westphalia,4,"OIC Staples, Assorted Sizes",0.0,62,23,7,0,49,2013,4,53,2013
Eva Hargraves,Milan,Lombardy,5,"Barricks Round Table, with Bottom Storage",501.5,1003,-943,4,3,52,2013,1,57,2013
Eva Hargraves,Milan,Lombardy,5,"Binney & Smith Canvas, Water Color",0.0,164,78,3,3,52,2013,1,57,2013
Eva Hargraves,Milan,Lombardy,5,"Smead Trays, Blue",11.6,29,-13,1,3,52,2013,1,57,2013
Eva Hargraves,Milan,Lombardy,5,"Okidata Calculator, Red",12.0,30,-5,1,3,52,2013,1,57,2013
Jonathan Summons,Zurich,Zürich,4,"Stockwell Thumb Tacks, Assorted Sizes",0.0,21,6,2,3,52,2013,0,56,2013
Jonathan Summons,Zurich,Zürich,4,"Smead Box, Single Width",0.0,32,8,3,3,52,2013,0,56,2013
Darcy Farnell,Grosseto,Tuscany,4,"Advantus Clock, Black",0.0,103,30,2,4,53,2013,1,57,2013
Darcy Farnell,Grosseto,Tuscany,4,"Acco Binder Covers, Recycled",0.0,41,12,3,4,53,2013,1,57,2013
Darcy Farnell,Grosseto,Tuscany,4,"Avery Binder Covers, Durable",0.0,63,8,5,4,53,2013,1,57,2013
Darcy Farnell,Grosseto,Tuscany,4,"Avery Binder Covers, Recycled",0.0,23,8,2,4,53,2013,1,57,2013
Darcy Farnell,Grosseto,Tuscany,4,"Konica Printer, Red",190.8,477,40,3,4,53,2013,1,57,2013
Katherine Grant,Paris,Ile-de-France,2,"Wilson Jones Hole Reinforcements, Recycled",0.0,10,2,2,4,53,2013,6,55,2013
Jared Wurster,Dublin,Dublin,5,"Apple Speaker Phone, with Caller ID",92.5,185,-93,3,4,53,2013,2,58,2013
Kayla Ronald,Rome,Lazio,5,"Harbour Creations Bag Chairs, Black",28.2,47,-60,2,5,54,2013,3,59,2013
Angus Reading,Namur,Namur,4,"Bush Classic Bookcase, Mobile",0.0,2076,104,5,6,55,2013,3,59,2013
Angus Reading,Namur,Namur,4,"Acco Binding Machine, Recycled",0.0,309,77,6,6,55,2013,3,59,2013
Angus Reading,Namur,Namur,4,"Brother Copy Machine, High-Speed",0.0,525,58,2,6,55,2013,3,59,2013
Jodie Mellor,Zaanstad,North Holland,6,"Advantus Frame, Black",106.6,533,0,6,1,57,2013,0,63,2013
Jodie Mellor,Zaanstad,North Holland,6,"Motorola Headset, with Caller ID",60.0,120,-41,3,1,57,2013,0,63,2013
Maya Summers,Bochum,North Rhine-Westphalia,3,"Binney & Smith Pens, Easy-Erase",0.0,147,0,12,4,60,2013,0,63,2013
Maya Summers,Bochum,North Rhine-Westphalia,3,"Fellowes Shelving, Wire Frame",10.2,102,35,2,4,60,2013,0,63,2013
Maya Summers,Bochum,North Rhine-Westphalia,3,"Epson Calculator, Durable",0.0,47,13,1,4,60,2013,0,63,2013
Oscar Clayton,Colmar,Alsace-Champagne-Ardenne-Lorraine,7,"BIC Markers, Easy-Erase",0.0,107,30,4,4,60,2013,4,67,2013
Angus De Groot,Farnborough,England,5,"Safco Classic Bookcase, Traditional",0.0,1314,342,3,4,60,2013,2,65,2013
Angus De Groot,Farnborough,England,5,"Office Star Rocking Chair, Red",0.0,705,289,5,4,60,2013,2,65,2013
Angus De Groot,Farnborough,England,5,"BIC Sketch Pad, Blue",0.0,195,35,4,4,60,2013,2,65,2013
Angus De Groot,Farnborough,England,5,"Sanford Pens, Fluorescent",0.0,37,10,3,4,60,2013,2,65,2013
Caleb Kenyon,Berlin,Berlin,4,"Belkin Keyboard, USB",15.1,151,-5,2,4,60,2013,1,64,2013
Carl Proctor,Rome,Lazio,4,"Ibico Index Tab, Clear",0.0,18,3,2,4,60,2013,1,64,2013
Spencer Akhtar,Berlin,Berlin,4,"Hamilton Beach Toaster, Black",72.8,364,45,8,4,60,2013,1,64,2013
Spencer Akhtar,Berlin,Berlin,4,"Fellowes Folders, Blue",12.6,63,24,3,4,60,2013,1,64,2013
Spencer Akhtar,Berlin,Berlin,4,"Smead Shelving, Single Width",23.6,118,37,3,4,60,2013,1,64,2013
Lincoln Want,Rimini,Emilia-Romagna,6,"OIC Clamps, 12 Pack",0.0,58,29,3,6,62,2013,5,68,2013
Niamh Mann,Paris,Ile-de-France,1,"BIC Canvas, Easy-Erase",0.0,108,37,2,3,66,2013,4,67,2013
Nicole Nash,Baden-Baden,Baden-Württemberg,5,"Advantus Clamps, Assorted Sizes",0.0,117,15,7,4,67,2013,2,72,2013
Joshua Romero,Madrid,Madrid,3,"BIC Pencil Sharpener, Water Color",0.0,97,37,3,5,68,2013,1,71,2013
Joshua Romero,Madrid,Madrid,3,"Kraft Interoffice Envelope, Set of 50",0.0,94,21,2,5,68,2013,1,71,2013
Joshua Romero,Madrid,Madrid,3,"Tenex Folders, Blue",10.4,104,27,5,5,68,2013,1,71,2013
Joshua Romero,Madrid,Madrid,3,"Sharp Ink, Color",0.0,126,59,1,5,68,2013,1,71,2013
John Kemp,Pforzheim,Baden-Württemberg,0,"Motorola Audio Dock, with Caller ID",0.0,520,203,3,6,69,2013,6,69,2013
Ryan Greenwood,Sheffield,England,4,"Harbour Creations Chairmat, Adjustable",37.0,74,-18,2,6,69,2013,3,73,2013
Naomi Hancock,Coventry,England,7,"OIC Thumb Tacks, Bulk Pack",0.0,28,10,2,6,69,2013,6,76,2013
Thomas Stephens,Berlin,Berlin,3,"Cardinal 3-Hole Punch, Clear",22.9,229,28,9,0,70,2013,3,73,2013
Ashton Charles,Pessac,Aquitaine-Limousin-Poitou-Charentes,4,"Binney & Smith Markers, Blue",0.0,72,14,3,0,70,2013,4,74,2013
Shannon Howe,Helsinki,Uusimaa,7,"Sanford Sketch Pad, Water Color",0.0,195,91,4,1,71,2013,1,78,2013
Joseph Ford,Basel,Basel-Stadt,5,"Cameo Mailers, with clear poly window",0.0,167,7,4,1,71,2013,6,76,2013
Joseph Ford,Basel,Basel-Stadt,5,"Fellowes File Cart, Wire Frame",0.0,273,57,2,1,71,2013,6,76,2013
Alexander Bennett,Berlin,Berlin,4,"Memorex Router, Erganomic",22.0,220,49,1,3,73,2013,0,77,2013
Koby Phillip,Bonn,North Rhine-Westphalia,2,"Sanford Pens, Water Color",0.0,43,20,3,3,73,2013,5,75,2013
Koby Phillip,Bonn,North Rhine-Westphalia,2,"Fiskars Box Cutter, Serrated",0.0,193,62,6,3,73,2013,5,75,2013
Thomas McCallum,Leipzig,Saxony,3,"Hoover Stove, Red",307.0,3070,1364,6,3,73,2013,6,76,2013
Thomas McCallum,Leipzig,Saxony,3,"Eldon File Cart, Single Width",23.0,230,20,2,3,73,2013,6,76,2013
Donna Nash,Tourcoing,Nord-Pas-de-Calais-Picardie,5,"Harbour Creations Round Labels, Adjustable",0.0,14,4,3,3,73,2013,1,78,2013
Wanda Wingert,London,England,0,"Office Star Steel Folding Chair, Set of Two",25.4,254,73,3,4,74,2013,4,74,2013
Wanda Wingert,London,England,0,"Binney & Smith Pens, Blue",1.1,11,4,1,4,74,2013,4,74,2013
Wanda Wingert,London,England,0,"Sanford Highlighters, Easy-Erase",2.9,29,-2,2,4,74,2013,4,74,2013
Wanda Wingert,London,England,0,"Avery Binder, Recycled",4.8,48,19,4,4,74,2013,4,74,2013
Wanda Wingert,London,England,0,"Stockwell Paper Clips, Metal",2.4,24,8,2,4,74,2013,4,74,2013
Scarlett Truchanas,Bari,Apulia,5,"Fiskars Trimmer, Steel",0.0,83,10,2,5,75,2013,3,80,2013
Jessica Paramor,Magdeburg,Saxony-Anhalt,6,"Hon Round Labels, 5000 Label Set",0.0,21,7,3,6,76,2013,5,82,2013
Jessica Paramor,Magdeburg,Saxony-Anhalt,6,"Smead Folders, Industrial",8.1,81,12,5,6,76,2013,5,82,2013
Charlie Brooks,Marseille,Provence-Alpes-Côte d'Azur,4,"Smead Shelving, Industrial",17.8,178,28,4,0,77,2013,4,81,2013
Sam Wood,Noisy-le-Sec,Ile-de-France,2,"Stockwell Clamps, Bulk Pack",0.0,57,5,3,0,77,2013,2,79,2013
Gabriel Sanders,Stavanger,Rogaland,5,"Rubbermaid Door Stop, Duo Pack",0.0,132,9,3,3,80,2013,1,85,2013
Gabriel Sanders,Stavanger,Rogaland,5,"Smead Folders, Wire Frame",0.0,50,3,3,3,80,2013,1,85,2013
Charles Builder,Cagliari,Sardinia,2,"Dania 3-Shelf Cabinet, Mobile",0.0,288,20,2,3,80,2013,5,82,2013
Aaron Bootman,Marsala,Sicily,3,"Harbour Creations Round Labels, Laser Printer Compatible",0.0,47,7,7,3,80,2013,6,83,2013
Aaron Bootman,Marsala,Sicily,3,"Elite Box Cutter, High Speed",0.0,105,42,3,3,80,2013,6,83,2013
Aaron Bootman,Marsala,Sicily,3,"Apple Office Telephone, Cordless",32.8,82,14,2,3,80,2013,6,83,2013
Kayla Tearle,Basel,Basel-Stadt,4,"Binney & Smith Pens, Fluorescent",0.0,26,0,2,3,80,2013,0,84,2013
Kayla Ronald,Emmen,Drenthe,6,"StarTech Inkjet, White",373.5,747,-90,5,3,80,2013,2,86,2013
Mary Wilson,Augsburg,Bavaria,5,"Acco Binder Covers, Economy",0.0,40,16,3,4,81,2013,2,86,2013
Mary Wilson,Augsburg,Bavaria,5,"Xerox Cards & Envelopes, Premium",0.0,90,27,2,4,81,2013,2,86,2013
Paige Horsfall,Stralsund,Mecklenburg-Vorpommern,4,"Rubbermaid Frame, Duo Pack",0.0,770,85,7,5,82,2013,2,86,2013
Paige Horsfall,Stralsund,Mecklenburg-Vorpommern,4,"SanDisk Cards & Envelopes, Recycled",0.0,193,8,4,5,82,2013,2,86,2013
Lily Tyler,Carcassonne,Languedoc-Roussillon-Midi-Pyrénées,3,"Avery Binding Machine, Durable",0.0,453,27,9,6,83,2013,2,86,2013
Lily Tyler,Carcassonne,Languedoc-Roussillon-Midi-Pyrénées,3,"Ibico 3-Hole Punch, Economy",0.0,152,76,5,6,83,2013,2,86,2013
Lily Tyler,Carcassonne,Languedoc-Roussillon-Midi-Pyrénées,3,"Eldon File Cart, Single Width",23.0,230,20,2,6,83,2013,2,86,2013
Lily Tyler,Carcassonne,Languedoc-Roussillon-Midi-Pyrénées,3,"Motorola Signal Booster, Full Size",36.9,246,3,2,6,83,2013,2,86,2013
Charlie Wells,Sheffield,England,2,"Stanley Highlighters, Blue",7.5,15,-9,2,0,84,2013,2,86,2013
Charlie Wells,Sheffield,England,2,"Advantus Thumb Tacks, Metal",3.5,7,-4,1,0,84,2013,2,86,2013
Edward Zwar,Munich,Bavaria,2,"OIC Clamps, Metal",0.0,99,45,5,0,84,2013,2,86,2013
Anthony Stewart,Wigan,England,2,"Stanley Canvas, Easy-Erase",0.0,149,36,3,0,84,2013,2,86,2013
